daren,your,you,more,hanks,to,thank,ect,ii,hou,subject,and,http,gas,attached,ali,hpl,enron,forwarded,farmer,of,aren,a,forward,soft,meter,thanks,Prediction
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
3,0,1,0,1,13,1,24,0,27,3,6,0,1,1,0,0,1,3,3,2,3,102,3,0,0,1,0
0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,8,0,0,0,0,0
2,0,2,0,1,5,1,22,0,10,3,0,0,0,0,0,0,0,2,1,1,2,51,2,0,1,1,0
1,0,0,0,1,6,1,17,0,9,2,1,0,2,0,0,0,0,2,0,2,1,57,2,0,3,1,0
0,0,1,1,0,5,0,1,0,0,0,4,0,0,0,1,0,0,0,0,3,0,45,0,0,0,0,1
0,0,0,0,1,3,1,1,0,0,0,3,0,5,0,0,1,0,0,0,1,0,37,0,0,4,1,0
0,5,6,1,1,2,1,2,0,0,0,3,0,0,0,0,0,0,0,0,2,0,21,0,0,0,1,1
0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,18,0,0,1,0,0
0,0,1,0,1,4,1,35,0,16,1,0,0,1,0,0,0,0,1,0,0,0,49,1,0,0,1,0
0,0,0,0,0,14,0,2,0,2,0,9,0,8,0,0,6,0,0,0,2,0,104,0,0,7,0,0
1,3,6,0,5,28,5,27,0,12,1,11,0,0,0,2,0,4,0,1,12,1,173,0,0,0,5,0
0,2,3,0,2,17,2,3,0,0,0,7,0,0,0,1,0,0,0,0,8,0,106,0,0,0,2,0
0,0,1,0,0,5,0,7,0,3,1,1,0,1,0,0,2,0,1,0,1,0,37,1,0,0,0,0
0,0,0,0,0,4,0,6,0,3,1,0,0,1,0,0,2,0,1,0,1,0,16,1,0,0,0,0
0,1,3,0,0,2,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,36,0,0,0,0,0
0,0,0,0,0,1,0,2,0,0,0,2,0,0,0,0,0,0,0,0,1,0,17,0,0,0,0,1
0,14,25,1,0,21,0,6,0,5,0,14,0,0,0,2,0,0,0,0,17,0,194,0,0,0,0,1
0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,2,0,0
2,0,1,0,1,4,1,11,0,5,1,0,0,0,0,0,0,0,1,1,2,2,32,1,0,3,1,0
0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0
0,0,2,0,0,1,0,13,0,5,1,2,0,0,0,0,0,0,0,0,1,0,36,0,0,0,0,0
